station_code,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic,purity,poi_count,longitude,latitude,label,supplemented_from,supplemented_station_name,supplemented_via_compound
00000,0.0194523980872619,0.922247958935961,0.0194132107891837,0.0194112371589787,0.019475195028615,Topic_2,0.922247958935961,6,104.015317560249,1.31776160034357,Dining & Hospitality,,,
01012,0.00213002964623809,0.991476291594291,0.00213193745611879,0.00212902667884903,0.0021327146245032,Topic_2,0.991476291594291,60,103.85255464496,1.29691638507237,Dining & Hospitality,,,
01013,0.35540495851987,0.476843067093002,0.00250089904185034,0.0025060504155036,0.162745024929774,Topic_2,0.476843067093002,51,103.853255046827,1.29777132628082,Dining & Hospitality,,,
01019,0.426984317543647,0.112560263554887,0.299684879859411,0.159772393450598,0.000998145591457503,Topic_1,0.426984317543647,129,103.852976648967,1.29693992061821,Education & Professional Services,,,
01029,0.51315957383373,0.000497985965284849,0.428983875901877,0.0382079026639683,0.0191506616351396,Topic_1,0.51315957383373,259,103.854396857551,1.29669654818468,Education & Professional Services,,,
01039,0.118115094144259,0.196258604738996,0.684661545350756,0.000482232589291706,0.000482523176698221,Topic_3,0.684661545350756,267,103.855522289687,1.29821576367486,Mixed-Use & Community,,,
01059,0.0194146200649554,0.0194132460161044,0.0194608409289775,0.0194108889074762,0.922300404082486,Topic_5,0.922300404082486,6,103.856414529938,1.30109991132481,Retail & Personal Care,,,
01109,0.0088268861856257,0.00881422549925939,0.00882190844735578,0.136198914861188,0.837338065006571,Topic_5,0.837338065006571,14,103.856712765739,1.30349678433703,Retail & Personal Care,,,
01112,0.0723117336114842,0.000708248459933425,0.925563456238949,0.000708679806744895,0.000707881882888305,Topic_3,0.925563456238949,182,103.855193257347,1.30012230128228,Mixed-Use & Community,,,
01113,0.00946640624399344,0.00948230784403268,0.962113242427178,0.0094581802121485,0.00947986327264769,Topic_3,0.962113242427178,13,103.856162544932,1.3012388792196,Mixed-Use & Community,,,
01119,0.000384158653436824,0.000384104341747271,0.998464329558849,0.00038398890248833,0.000383418543478677,Topic_3,0.998464329558849,336,103.855081471413,1.2995215309492,Mixed-Use & Community,,,
01121,0.006948698139519,0.972265694799293,0.00692396409217959,0.0069304306539893,0.00693121231501888,Topic_2,0.972265694799293,18,103.858784213855,1.30403163343771,Dining & Hospitality,,,
01129,0.206099518634221,0.369885056524434,0.384839105935827,0.0379183532609683,0.00125796564455034,Topic_3,0.384839105935827,102,103.858617695988,1.30347567874367,Mixed-Use & Community,,,
01139,0.808114838251105,0.0018295093299007,0.186396213953839,0.00182828527114471,0.00183115319401009,Topic_1,0.808114838251105,70,103.857201637141,1.3003738917155,Education & Professional Services,,,
01211,0.00435948520566056,0.823279189179799,0.163634864495253,0.00436349923581124,0.00436296188347549,Topic_2,0.823279189179799,29,103.860568790839,1.30554905444688,Dining & Hospitality,,,
01219,0.159916344072748,0.486059738936859,0.188280681482926,0.0725174254500529,0.0932258100574131,Topic_2,0.486059738936859,55,103.860738461533,1.3052894302982,Dining & Hospitality,,,
01229,0.157021083607753,0.445746087655142,0.395785678352928,0.000724060232794677,0.000723090151382184,Topic_2,0.445746087655142,178,103.859588245936,1.30335977351098,Dining & Hospitality,,,
01231,0.297582667768477,0.196189969978762,0.173766257966022,0.331857815259633,0.000603289027105521,Topic_4,0.331857815259633,214,103.861061616153,1.30335172324518,Industrial & Automotive,,,
01239,0.234572948011315,0.286407556160067,0.3278007809089,0.133388021186526,0.017830693733192,Topic_3,0.3278007809089,196,103.861645647542,1.3028501361648,Mixed-Use & Community,,,
