station_code,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic,purity,total_pois,longitude,latitude,label,harmonized_from,harmonized_station_name
00000,0.9255698505645,0.0186499873280596,0.0185970915027437,0.0185832746627513,0.0185997959419453,Topic_1,0.9255698505645,6,104.015317560249,1.31776160034357,Education & Professional Services,,
01012,0.355335534506931,0.416013944359933,5.2028053824678e-4,5.2034145984255e-4,0.227609899135046,Topic_2,0.416013944359933,236,103.85255464496,1.29691638507237,Dining & Hospitality,,
01013,0.293731161861968,0.321366093632582,0.00626765043311521,0.0797586944359361,0.298876399636399,Topic_2,0.321366093632582,19,103.853255046827,1.29777132628082,Dining & Hospitality,,
01019,0.168970635128501,0.413006651194096,0.00318752888980653,0.00318332311641884,0.411651861671178,Topic_2,0.413006651194096,38,103.852976648967,1.29693992061821,Dining & Hospitality,,
01029,0.678520375587197,0.0393522792204154,4.6128016669342e-4,0.0194264205512058,0.262239644474488,Topic_1,0.678520375587197,266,103.854396857551,1.29669654818468,Education & Professional Services,,
01039,0.0340889955669511,0.0340070951441183,0.0340012064179816,0.863896831324969,0.0340058715459803,Topic_4,0.863896831324969,3,103.855522289687,1.29821576367486,Industrial & Automotive,,
01059,0.313964386145303,0.677368834339845,0.00289090595676534,0.00288756236493059,0.00288831119315639,Topic_2,0.677368834339845,42,103.856414529938,1.30109991132481,Dining & Hospitality,,
01109,0.194626464217407,0.738141980740306,8.2816833545546e-4,8.2810422625458e-4,0.065575282480576,Topic_2,0.738141980740306,148,103.856712765739,1.30349678433703,Dining & Hospitality,,
01112,0.00217416534897251,0.520425504270502,0.00217511164099988,0.0766251156029396,0.398600103136586,Topic_2,0.520425504270502,56,103.855193257347,1.30012230128228,Dining & Hospitality,,
01113,0.166378437444597,0.591526024851422,3.8723211753026e-4,3.8731149278122e-4,0.241320994093669,Topic_2,0.591526024851422,317,103.856162544932,1.3012388792196,Dining & Hospitality,,
01119,0.567201264393211,0.145401705773391,6.2886548164177e-4,0.0504170986294919,0.236351065722264,Topic_1,0.567201264393211,195,103.855081471413,1.2995215309492,Education & Professional Services,,
01121,0.407818899660398,0.00628031870729008,0.00627803788312007,0.166038312099226,0.413584431649966,Topic_5,0.413584431649966,19,103.858784213855,1.30403163343771,Retail & Personal Care,,
01129,0.121277523575963,0.209821784268938,0.100812230386078,0.141829677620703,0.426258784148318,Topic_5,0.426258784148318,350,103.858617695988,1.30347567874367,Retail & Personal Care,,
01139,0.460855520311112,0.36366240871079,8.4532384169721e-4,0.109753234822025,0.0648835123143759,Topic_1,0.460855520311112,145,103.857201637141,1.3003738917155,Education & Professional Services,,
01211,0.27162848040334,0.345693843604646,0.301414715827772,0.00122244695848851,0.0800405132057541,Topic_2,0.345693843604646,100,103.860568790839,1.30554905444688,Dining & Hospitality,,
01219,0.331813490524442,0.00569303980058326,0.339241670605178,0.00569642006364246,0.317555379006155,Topic_3,0.339241670605178,21,103.860738461533,1.3052894302982,Mixed-Use & Community,,
01229,0.0541615572231159,0.837345956988166,0.0695146626824693,0.0383001651289716,6.7765797727686e-4,Topic_2,0.837345956988166,181,103.859588245936,1.30335977351098,Dining & Hospitality,,
01231,0.298597767958955,0.199872038390898,0.164457437259881,0.0804767682771829,0.256595988113082,Topic_1,0.298597767958955,81,103.861061616153,1.30335172324518,Education & Professional Services,,
01239,0.783989592693663,0.167559671931093,0.0161563338837825,0.0161489242469112,0.0161454772445512,Topic_1,0.783989592693663,7,103.861645647542,1.3028501361648,Education & Professional Services,,
01311,0.00569300153592523,0.738352751067948,0.00569435915796604,0.244565533395186,0.00569435484297458,Topic_2,0.738352751067948,21,103.862364307586,1.30726752871866,Dining & Hospitality,,
01349,0.0186046693797693,0.203233952344627,0.740993589888946,0.0185835673672541,0.0185842210194036,Topic_3,0.740993589888946,6,103.865469725049,1.30561728478985,Mixed-Use & Community,,
01521,0.333869304392758,0.631375241470044,0.0115891860007714,0.0115811171693181,0.0115851509671084,Topic_2,0.631375241470044,10,103.86070332429,1.300917051754,Dining & Hospitality,,
01529,0.42295073667855,0.305207214044776,8.7482135542705e-4,0.182770142903827,0.0881970850174199,Topic_1,0.42295073667855,140,103.860387239156,1.30038426319308,Education & Professional Services,,
01549,0.910923518481393,0.00480149579707042,0.00480997493935265,0.0746615090348438,0.00480350174734048,Topic_1,0.910923518481393,25,103.858758746081,1.30068657046255,Education & Professional Services,,
01559,0.200821326387746,0.265085764902743,5.4086155382589e-4,0.278754254940531,0.254797792215153,Topic_4,0.278754254940531,227,103.857574045182,1.3016655271512,Industrial & Automotive,,
01611,0.418655431997767,5.6311702654469e-4,5.6273246667096e-4,5.6323407283524e-4,0.579655484436182,Topic_5,0.579655484436182,218,103.85541716401,1.29536054036072,Retail & Personal Care,,
01619,0.479496852559223,0.182447137728884,4.3827399179242e-4,4.3845084255111e-4,0.337179284877549,Topic_1,0.479496852559223,280,103.855002777743,1.29423690328481,Education & Professional Services,,
01621,0.00429753051616508,0.428259936659325,0.0853906415397849,0.0042967646054289,0.477755126679296,Topic_5,0.477755126679296,28,103.856506238408,1.29698352074814,Retail & Personal Care,,
01631,0.0340177432137012,0.0340003900079851,0.0339999654076356,0.0340092250696648,0.863972676301013,Topic_5,0.863972676301013,3,103.855810161351,1.29695231382016,Retail & Personal Care,,
02011,0.00202977805730993,0.862352345232866,0.00203677542368403,0.00202950059092984,0.131551600695211,Topic_2,0.862352345232866,60,103.851918900684,1.28860611833505,Dining & Hospitality,,
02029,0.00345713753023877,0.986186364320664,0.00345180600813036,0.00345178497138575,0.00345290716958138,Topic_2,0.986186364320664,35,103.85287594308,1.28874190241117,Dining & Hospitality,,
02031,0.171816699762903,0.00698418866114927,0.00698991353700056,0.00698286696537961,0.807226331073568,Topic_5,0.807226331073568,17,103.851215687166,1.29168202554363,Retail & Personal Care,,
02049,0.34412212787589,0.089666447031652,2.8846732572698e-4,0.0372480599181442,0.528674897848586,Topic_5,0.528674897848586,426,103.85410661076,1.29448094643239,Retail & Personal Care,,
02051,0.00160731079171945,0.607369562246252,0.00160653461546335,0.00160554571088991,0.387811046635676,Topic_2,0.607369562246252,76,103.858871383016,1.28953565883185,Dining & Hospitality,,
02061,0.00389226973026394,0.791299799833335,0.00388865759576709,0.00389212856921281,0.197027144271421,Topic_2,0.791299799833335,31,103.856436883442,1.28993385687834,Dining & Hospitality,,
02089,0.0142824193077615,0.942862359501594,0.0142952069595771,0.014273608322676,0.014286405908391,Topic_2,0.942862359501594,8,103.859326410336,1.29154652374841,Dining & Hospitality,,
02111,0.15531870500324,0.299853903610907,3.8147860022815e-4,3.8136123358468e-4,0.54406455155204,Topic_5,0.54406455155204,322,103.854546727693,1.29099047721289,Retail & Personal Care,,
02119,0.0476765804183539,0.271586034728355,0.00138740649725842,0.00138802916078321,0.677961949195249,Topic_5,0.677961949195249,88,103.855278930139,1.29178460454077,Retail & Personal Care,,
02151,0.753386642170978,0.208210453689136,0.0128082771821911,0.0127963085469541,0.0127983184107416,Topic_1,0.753386642170978,9,103.85786931502,1.29323952998139,Education & Professional Services,,
02161,0.553281705584974,0.0519230512073876,0.199248576757904,0.194760363786487,7.8630266324809e-4,Topic_1,0.553281705584974,156,103.860935323174,1.29269548853148,Education & Professional Services,,
02181,0.102104500130282,0.786095275984751,0.0024334651551188,0.00243033221580214,0.106936426514046,Topic_2,0.786095275984751,50,103.851147200271,1.28935431847904,Dining & Hospitality,,
03021,0.00902924908699264,0.963854573963767,0.00906042922776129,0.00902636010247388,0.00902938761900489,Topic_2,0.963854573963767,13,103.849952256033,1.28249690224533,Dining & Hospitality,,
03031,0.377375776465013,0.261316671462425,0.0808444358325594,0.00138770604608528,0.279075410193917,Topic_1,0.377375776465013,88,103.850919629634,1.28216191175172,Education & Professional Services,,
03041,0.0128015057845963,0.948806615817617,0.0127930818125665,0.0127958190359923,0.0128029775492276,Topic_2,0.948806615817617,9,103.848849836116,1.28191188821927,Dining & Hospitality,,
03059,0.554206725582285,0.161006826775767,0.00319112183048506,0.00318514071771457,0.278410185093749,Topic_1,0.554206725582285,38,103.85139449519,1.28106868230315,Education & Professional Services,,
03071,0.451250629971482,0.166114539100289,0.0317392041083112,0.0204579302187473,0.330437696601171,Topic_1,0.451250629971482,139,103.849539586723,1.28019703352386,Education & Professional Services,,
03111,0.531928057420886,0.23423926741443,0.00310780611685961,0.00310894012036881,0.227615928927456,Topic_1,0.531928057420886,39,103.848222681308,1.27801675791142,Education & Professional Services,,
03129,0.445955488039509,0.00544412304111548,0.00544089468830443,0.00544906362200307,0.537710430609068,Topic_5,0.537710430609068,22,103.849736621872,1.27837899923466,Retail & Personal Care,,
03151,0.689014577418391,0.157553215055763,1.9182416830197e-4,0.0148606116290548,0.138379771728488,Topic_1,0.689014577418391,641,103.847736941526,1.27891006072155,Education & Professional Services,,
03222,0.470450090526178,0.161334877440522,0.144607529172468,0.00247934370035891,0.221128159160474,Topic_1,0.470450090526178,49,103.844922883201,1.27402330739077,Education & Professional Services,,
03223,0.719396124053959,0.0781145675120683,3.8496428737616e-4,3.8499836784084e-4,0.201719345778755,Topic_1,0.719396124053959,319,103.84638820572,1.27581796104841,Education & Professional Services,,
03241,0.812297727214401,0.0830768738367302,0.00117749779596053,0.00117649122031003,0.102271409932598,Topic_1,0.812297727214401,104,103.845451433748,1.27466001043625,Education & Professional Services,,
03341,0.0267758352219058,0.893039515522128,0.0268468995557581,0.0266874842816004,0.0266502654186082,Topic_2,0.893039515522128,4,103.8641023165,1.27685151000226,Dining & Hospitality,,
03369,0.0340628092472577,0.863887793595429,0.034042108904264,0.0339996510716603,0.0340076371813891,Topic_2,0.863887793595429,3,103.869372297006,1.27991430483259,Dining & Hospitality,,
03371,0.00318494265555135,0.74965606708077,0.240789557120758,0.00318418089968366,0.00318525224323657,Topic_2,0.74965606708077,38,103.867215962964,1.27946025918317,Dining & Hospitality,,
03381,0.612004997783707,0.332193412834937,0.0186208202352138,0.0185860213011441,0.0185947478449973,Topic_1,0.612004997783707,6,103.853089860556,1.2816118032259,Education & Professional Services,,
03391,0.0734982244472603,0.298562422329986,9.2792832030295e-4,9.2808491008564e-4,0.626083339992365,Topic_5,0.626083339992365,132,103.855060909994,1.28034468606078,Retail & Personal Care,,
03421,0.016151120730416,0.172212637656924,0.0161564011912239,0.77932211269996,0.0161577277214754,Topic_4,0.77932211269996,7,103.859953144825,1.26648843281729,Industrial & Automotive,,
03501,0.00841629526475504,0.966325964839742,0.00841994327781696,0.00842161788686508,0.00841617873082103,Topic_2,0.966325964839742,14,103.860649298011,1.28524952633057,Dining & Hospitality,,
03509,0.00739774688269828,0.633478126152254,0.34432587167637,0.00739682488006639,0.00740143040861116,Topic_2,0.633478126152254,16,103.860085347138,1.2831384057189,Dining & Hospitality,,
03519,3.3189546858071e-4,0.240053681779861,3.3203048644373e-4,3.3180869504365e-4,0.758950583570071,Topic_5,0.758950583570071,370,103.858810733685,1.28123548144708,Retail & Personal Care,,
